Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1974","1974","1000 USD","596080","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1975","1975","t","111297","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1975","1975","1000 USD","17745","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1975","1975","t","2587089","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1975","1975","1000 USD","375044","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1976","1976","t","68523","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1976","1976","1000 USD","11673","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1976","1976","t","2961431","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1976","1976","1000 USD","449791","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1977","1977","t","100218","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1977","1977","1000 USD","19287","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1977","1977","t","2409222","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1977","1977","1000 USD","391483","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1978","1978","t","457966","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1978","1978","1000 USD","93210","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1978","1978","t","3682595","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1978","1978","1000 USD","624869","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1979","1979","t","75596","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1979","1979","1000 USD","19873","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1979","1979","t","4065602","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1979","1979","1000 USD","726914","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1980","1980","t","24465","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1980","1980","1000 USD","6238","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1980","1980","t","3974396","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1980","1980","1000 USD","835050","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1981","1981","t","71243","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1981","1981","1000 USD","16974","A","Official figure",""
